4003118+3005061,0.25
3002709+4008438,0.25
3006942+4008041,0.25
4007361+3002805,0.25
4011584+3005060+3005383,0.3333333333333333
3001583+4005751+3001716,0.3333333333333333
3009546+4005916,0.375
4003948+3009059,0.375
4010175+3000872,0.375
4007523+3000649,0.375
3005009+4006521,0.375
4010992+3003182,0.4
4008939+3005989,0.4
4008063+3004091,0.4
3007061+4004150,0.4
3003894+3002392+4010973+4005722,0.4
3004750+4011714,0.4
4008460+3002832,0.4
4011396+3009761,0.4
3002585+4009762,0.4
3006059+4011963,0.4
4009726+3004096,0.4
3002980+4008515,0.4
3000369+4007589,0.4
3002765+4011461,0.4
3003009+4008983,0.4
4006142+3005781,0.4
3003598+4011511,0.4
3001680+4011879,0.4
4009066+3003489,0.4
3001465+4007068,0.4
4008518+3002404,0.4
3003111+4008520,0.4
4010407+3004416,0.4
3003836+4008449,0.4
4010198+3003812,0.4
3001253+4011122,0.4
3009500+4006134,0.4
4010205+3005791,0.4
4011497+3003500,0.4
4010244+3004479,0.4
4011674+3005028,0.4
3009605+4007536,0.4
4011440+3007114,0.4
3003861+3007477+4012064+3003186,0.4833333333333333
3006578+4011429+3006808,0.49999999999999994
3004248+4003014,0.5
4006162+3007278,0.5
3001332+4010059,0.5
3000764+4011247,0.5
3000860+4006002,0.5
4009253+3004813,0.5
4009085+3004414,0.5
3009513+4008945,0.5
4011386+3004484,0.5
3000417+4000785,0.5
4011705+3005226,0.5
4009492+3006806,0.5
4001209+3000490,0.5
4005265+3002904,0.5
4011001+3002691,0.5
4010990+3002534,0.5
3002682+4003186,0.5
3008215+4011408,0.5
3000375+4011425,0.5
3008309+4011446,0.5
4003946+3001994,0.5
3005129+4009292,0.5
4003849+3003605,0.5
4006177+3002790,0.5
4008958+3009097,0.5
3003597+4010339,0.5
3001388+4010184,0.5
4010254+3005515,0.5
4005261+3002381,0.5
3005956+4010256,0.5
4000819+3000302,0.5
3005327+4006332,0.5
4009761+3003737,0.5
4006620+3004917,0.5
3007220+4010291,0.5
4011186+3000355,0.5
3009382+4000908,0.5
3005981+4006083,0.5
3001587+4010170,0.5
3009181+4000548,0.5
4009143+3004254,0.5
3002353+4007851,0.5
3007092+4011341,0.5
3004832+4000989,0.5
3002755+4006277,0.5
3005886+4011348,0.5
4006462+3004095,0.5
4003718+3009065,0.5
4007160+3009653,0.5
3005245+4007999,0.5
3005167+4009407,0.5
3009304+4000839,0.5
3004633+4009794,0.5
3004401+4004244,0.5
